"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-1787-1830.1.7.1","nl.proc","speech",0.19307072,"2008-11-12","Haverkamp","CDA","De heer","mp",8,"commons"," zonder die inspiratie. Een inspiratie gebaseerd op de strijd voor vrede, democratie en mensenrechten. Een inspiratie die anderen moet aansporen, zich hierbij aan te sluiten. Een inspiratie die ons <em>verbindt</em> met andere mensen, waar ook ter wereld. Dat buitenland binnenland is, is mede dankzij de kredietcrisis ook weer duidelijk geworden. Het buitenland"
"nl.proc.ob.d.h-tk-20112012-27-6.1.7.1","nl.proc","speech",0.1628829,"2011-11-23","Slob","ChristenUnie","De heer","mp",12,"commons","Dank u wel, voorzitter. Ik heb dit VAO aangevraagd om onder andere een motie in te dienen die vraagt om een resultaatsverplichting voor de intercity Eindhoven-Heerlen-Aken. De minister heeft echter na het AO nog toegezegd dat zij met plannen zal komen voor een zware inspanningsverplichting voor deze <em>verbinding</em>. We zullen nog spreken over de"
"nl.proc.ob.d.h-tk-20122013-56-6.1.5.1","nl.proc","speech",0.1615636,"2013-02-28","Hoogland","PvdA","De heer","mp",6,"commons"," met de omgeving komt in dit debat heel dichtbij. Voor mij, maar natuurlijk ook voor alle reizigers die naar Brussel willen, want hun <em>verbindingen</em> staan onder druk. Op dit moment is de <em>verbinding</em> met Brussel niet wat zij zou moeten zijn. Wij wachten de onderzoeken naar de problemen met de Fyra nieuwsgierig en ongeduldig af. Nu over één nacht ijs gaan"
"nl.proc.ob.d.h-tk-20122013-38-60.1.6.1","nl.proc","speech",0.13318141,"2012-12-20","Dik-Faber","ChristenUnie","Mevrouw","mp",37,"commons"," mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 354 (29984) . Motie De Kamer, gehoord de beraadslaging, verzoekt de regering, in de nieuwe hoofdrailnetconcessie afspraken te maken over de te bereiken reistijdverbetering, in het bijzonder voor de <em>verbindingen</em> tussen de Randstad en Noord-, Oost- en Zuid-Nederland, en gaat"
"nl.proc.ob.d.h-tk-20092010-80-6818.1.6.1","nl.proc","speech",0.13318141,"2010-04-22","Mastwijk","CDA","De heer","mp",11,"commons","Voorzitter. De initiatiefnota die de collega's Koopmans en Cramer in de zomer van 2008 hebben gepresenteerd, heeft inmiddels veel in gang gezet. Steeds vaker zien regio's in dat het spoor niet ophoudt bij de grens en dat goede <em>verbindingen</em> over snelspoor ervoor zorgen dat naburige steden dichterbij komen. Dat is de sterke kant van deze"
"nl.proc.ob.d.h-tk-20102011-90-3.1.4.1","nl.proc","speech",0.13215405,"2011-06-08","Verhoeven","D66","De heer","mp",8,"commons"," op het maatschappelijk belang van het internet en dan ga ik inzoomen op deze twee onderwerpen. Je zou je het internet kunnen voorstellen als een grote wolk van vele <em>verbindingen</em>, een netwerk van vele digitale snelwegen die als het ware <em>verbonden</em> zijn met elkaar, maar die ook allerlei opritten tot en afritten van de digitale snelweg hebben. Op de"
"nl.proc.ob.d.h-tk-20052006-5203-5248.1.21.1","nl.proc","speech",0.12389215,"2006-06-01","Duyvendak","GroenLinks","De heer","mp",13,"commons","Voorzitter. De eerste termijn van het kabinet eindigde daarnet wat rommelig. Het leek er een beetje op alsof het kabinet zich gaande het debat realiseerde wat de overigens zeer verheugende concessie over het alsnog onderzoeken van snellere <em>verbindingen</em> betekent voor de procedures. Laat er geen misverstand over bestaan, mijn fractie zou het"
"nl.proc.ob.d.h-tk-20122013-38-60.1.4.1","nl.proc","speech",0.12389215,"2012-12-20","Van Veldhoven","D66","Mevrouw","mp",34,"commons"," Kamer, gehoord de beraadslaging, constaterende dat in 2005 ministeriële afspraken zijn gemaakt over een <em>verbinding</em> Den Haag-Breda-Brussel; constaterende dat in het recent gesloten akkoord deze <em>verbinding</em> ontbreekt; overwegende dat Den Haag als stad van vrede en recht en parlementaire hoofdstad een belangrijke internationale positie inneemt; spreekt"
"nl.proc.ob.d.h-tk-20112012-36-2.1.12.1","nl.proc","speech",0.12352619,"2011-12-14","Jacobi","PvdA","Mevrouw","mp",11,"commons","Bij het natuurbeleid worden de <em>verbindingen</em> van de ecologische hoofdstructuur geschrapt. Wij vinden dit ongeoorloofd en menen dat dit niet kan. Wij weten zeker dat wij die over een aantal jaren weer nodig hebben. Wij dienen daarom een \"no regret\"-motie in. Motie De Kamer, gehoord de beraadslaging, overwegende dat in tijden van financiële krapte"
"nl.proc.ob.d.h-tk-20102011-18-54.1.5.1","nl.proc","speech",0.12025025,"2010-11-04","Slob","ChristenUnie","De heer","mp",7,"commons"," dus geliberaliseerd. Dat geldt echter voor een beperkt aantal <em>verbindingen</em> tussen enkele grote steden en voor <em>verbindingen</em> die slechts één station binnen Nederland aandoen. In de andere gevallen, zoals regionale stoptreinen en intercityverbindingen over de grens, zal internationaal passagiersvervoer vaak niet het hoofddoel zijn of is het beeld"
