"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-4134-4186.1.26.15","nl.proc","speech",0.1348922,"2009-02-03","Weekers","VVD","De heer","mp",2,"commons","... en ik noem dat een lening. Wij moeten immers aflossen en wij moeten er rente voor betalen. Ik laat mij dan ook niet de kwalificaties aanleunen van de minister aan mijn adres over het alternatief van de VVD. Uiteindelijk is het lood om oud ijzer. Wat verstaan wij onder <em>potverteren</em>? Dat is in ieder geval niet een kapitaalinjectie in een"
"nl.proc.ob.d.h-tk-20122013-7-16.1.13.73","nl.proc","speech",0.10384006,"2012-10-02","Van Haersma Buma","CDA","De heer","mp",2,"commons","Dat klopt, maar deze brandde nu eenmaal, voorzitter. Het gekke is dat wij uiteindelijk moeten constateren – dat verrast mij ook – dat het wel <em>potverteren</em> is. Voor 2013 wordt het opgelost, maar dan komt er structureel een probleem van 600 miljoen euro bij voor Nederland. Dat is geen goede oplossing."
"nl.proc.ob.d.h-tk-20112012-105-34.1.6.1","nl.proc","speech",0.07520059,"2012-07-05","Wilders","PVV","De heer","mp",5,"commons","Voorzitter. De landen in het zuiden hebben er niet alleen een puinhoop van gemaakt, ze hebben niet alleen <em>gepotverteerd</em> met ons geld, ze hebben niet alleen ons belogen en bedrogen met valse begrotingscijfers, maar – alsof dat nog niet allemaal genoeg is – ze wagen het ook nog eens om ons te chanteren met maffiapraktijken. Tijdens de top van vorige"
"nl.proc.ob.d.h-tk-20092010-86-7203.1.7.29","nl.proc","speech",0.06490004,"2010-05-20","Halsema","GroenLinks","Mevrouw","mp",2,"commons"," geen geld. Als ik de zorg er even bij mag nemen. Ik hoorde u net zeggen dat u daarin 800 mln. investeert, maar volgens het CPB zit u op nul. Ik zie u nu doen alsof u geld hebt, terwijl u niets anders doet dan <em>potverteren</em>, een enorme puinhoop maken van de overheidsfinanciën en ronkende symbolische taal uitslaan over mensen die zich niet kunnen verdedigen. Dat is het enige wat u hebt. Dat is helemaal geen verantwoordelijke politiek."
"nl.proc.ob.d.h-tk-20132014-39-8.1.19.1","nl.proc","speech",0.045430027,"2013-12-19","Ulenbelt","SP","De heer","mp",3,"commons"," verdwijnen voor het behoud van werkgelegenheid. Dan ben je die pensioenpot helemaal kwijt! Misschien is dat wel de bedoeling. Het gevolg zal in ieder geval zijn dat wij teruggaan naar de tijd van voor Drees: \"oud\" en \"arm\" zullen weer synoniem zijn. Dit is <em>potverteren</em> voor gevorderden. Er zijn tegenslagen in de begroting en dan leg je je hand op"
"nl.proc.ob.d.h-tk-20082009-5416-5496.1.17.5","nl.proc","speech",0.038940024,"2009-03-26","Rutte","VVD","De heer","mp",14,"commons"," heel erg veel voor het kabinet uitgeschoven. Het is een beetje het \"na ons de zondvloed\"-kabinet dat hier zich vandaag presenteert. Het is nu <em>potverteren</em> en komende kabinetten kunnen de rommel weer opruimen, namelijk de rommel van de geëxplodeerde overheidsuitgaven. Ik wijs nog een keer op uitspraken van Trichet van de Europese Centrale Bank en van"
"nl.proc.ob.d.h-tk-20102011-41-2.1.9.1","nl.proc","speech",0.038940024,"2011-01-19","Beertema","PVV","De heer","mp",4,"commons"," seconden, dat was alweer € 2283 die wij of onze kinderen en kleinkinderen ooit moeten terugbetalen. Niet acteren op een dergelijk schuldprobleem heet <em>potverteren</em>. Geen actie ondernemen om paal en perk te stellen aan een dergelijk uitgavenpatroon is ronduit asociaal. Ik zal als babyboomer de rit wel uitzitten, maar het is volstrekt onverantwoord om"
"nl.proc.ob.d.h-tk-20102011-35-20.1.8.1","nl.proc","speech",0.038940024,"2010-12-15","Blanksma-van den Heuvel","CDA","Mevrouw","mp",13,"commons","Voorzitter. Dank aan de minister voor de beantwoording van de vragen. Ik denk dat het heel duidelijk is dat het tijd wordt voor consolideren en stimuleren, en dat het <em>potverteren</em> voorbij is. We hebben daarvoor heel duidelijke afspraken gemaakt. In die zin zien we 2011 goed tegemoet en we proberen elkaar scherp te houden hierin. Ik heb twee punten"
"nl.proc.ob.d.h-tk-20112012-32-27.1.14.5","nl.proc","speech",0.038940024,"2011-12-06","Van Veldhoven","D66","Mevrouw","mp",5,"commons"," rechtsom worden opgelost. Wij hebben nog geen zicht op een kosteneffectieve inzet bij de grondverkoop. Hoe voorkomen wij <em>potverteren</em>? Hoe maken wij zo snel mogelijk meters voor de natuur? Hoe halen wij het tempo dat de staatssecretaris belooft? Ten slotte de relatie met de natuurwet. Welke extra beheerkosten levert de verlaagde bescherming op?"
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.7","nl.proc","speech",0.03245002,"2008-10-01","Tony van Dijck","PVV","De heer","mp",4,"commons"," kabinet gaat gewoon door met <em>potverteren</em>, alsof er niets aan de hand is. In 2009 stijgen de collectieve lasten naar 222 mld. Dat is maar liefst 16 mld. meer dan dit jaar, ofwel 7%. De minister roept de sociale partners op om de lonen te matigen, maar geeft zichzelf op de begroting een verhoging van twee keer de inflatie. Ook tovert het kabinet een"
